lemma,reading,first_char,last_char
ＮＥＷ,ニュー,ニ,ユ
ＮＥＷＳ,ニュース,ニ,ス
ＮＧ,エヌジー,エ,シ
ＮＩＥ,エヌアイイー,エ,イ
ＮＩＥＳ,ニーズ,ニ,ス
ＮＭＲ,エヌエムアール,エ,ル
ＮＯ,ノー,ノ,ノ
ＮＯｘ,エヌオーエックス,エ,ス
ＮＰＯ,エヌピーオー,エ,オ
Ｎｅｗ,ニュー,ニ,ユ
ＯＡ,オーエイ,オ,イ
ＯＢ,オービー,オ,ヒ
ＯＥＭ,オーイーエム,オ,ム
ＯＦＦ,オフ,オ,フ
ＯＧ,オージー,オ,シ
ＯＫ,オーケイ,オ,イ
ＯＬ,オーエル,オ,ル
ＯＲ,オーアール,オ,ル
ＰＡ,ピーエイ,ヒ,イ
ＰＡＳ,パス,ハ,ス
ＰＡＳポート,パスポート,ハ,ト
ＰＢ,ピービー,ヒ,ヒ
ＰＤＳ,ピーディーエス,ヒ,ス
ＰＥＴ,ピーイーティー,ヒ,イ
ＰＧ,ピージー,ヒ,シ
ＰＨ,ペーハー,ヘ,ハ
ＰＫ,ピーケイ,ヒ,イ
ＰＬ,ピーエル,ヒ,ル
ＰＰ,ピーピー,ヒ,ヒ
ＰＲ,ピーアール,ヒ,ル
Ｑ２,キューツー,キ,ツ
ＱＢ,キュービー,キ,ヒ
ＱアンドＡ,キューアンドエイ,キ,イ
Ｒ＆Ｒ,ロックンロール,ロ,ル
ＲＢ,アールビー,ア,ヒ
ＲＮＡ,アールエヌエイ,ア,イ
ＲＳＣ,アールエスシー,ア,シ
ＲＶ,アールブイ,ア,イ
ＳＡ,エスエイ,エ,イ
ＳＤＲ,エスディーアール,エ,ル
ＳＤＲ,エスディーアール,エ,ル
ＳＦ,エスエフ,エ,フ
ＳＧ,エスジー,エ,シ
ＳＬ,エスエル,エ,ル
ＳＯ,エスオー,エ,オ
ＳＯＳ,エスオーエス,エ,ス
ＳＰ,エスピー,エ,ヒ
ＳＳＴ,エスエスティー,エ,イ
ＳＴＩ,エスティーアイ,エ,イ
ＳＵＮＤＡＥ,サンデー,サ,テ
ＴＥＬ,テル,テ,ル
ＴＦＴ,ティーエフティー,テ,イ
ＴＫＯ,ティーケイオー,テ,オ
ＴＰ,ティーピー,テ,ヒ
ＴＶ,テレビ,テ,ヒ
Ｔシャツ,ティーシャツ,テ,ツ
Ｔスコア,ティースコア,テ,ア
Ｔバック,ティーバック,テ,ク
Ｔフォール,ティーフォール,テ,ル
Ｕターン,ユーターン,ユ,ン
ＶＴＲ,ブイティーアール,フ,ル
ＷＣ,ダブリューシー,タ,シ
ＷＥＣＰＮＬ,ダブリューイーシーピーエヌエル,タ,ル
ＷＲ,ダブリューアール,タ,ル
Ｘｍａｓ,クリスマス,ク,ス
Ｘ線,エックスセン,エ,ン
Ｚ旗,ゼットキ,セ,キ
ａ,アール,ア,ル
ｃａｌ,カロリー,カ,リ
ｃｃ,シーシー,シ,シ
ｃｍ,センチメートル,セ,ル
ｄｂ,デシベル,テ,ル
ｄｌ,デシリットル,テ,ル
ｆｅｅｔ,フィート,フ,ト
ｇ,グラム,ク,ム
ｈａ,ヘクタール,ヘ,ル
ｈｐａ,ヘクトパスカル,ヘ,ル
ｈｚ,ヘルツ,ヘ,ツ
ｉｎ,イン,イ,ン
ｋｂ,キロバイト,キ,ト
ｋｇ,キログラム,キ,ム
ｋｈｚ,キロヘルツ,キ,ツ
ｋｌ,キロリットル,キ,ル
ｋｍ,キロメートル,キ,ル
ｋｔ,キロトン,キ,ン
ｋｗ,キロワット,キ,ト
ｋグラム,キログラム,キ,ム
ｋバイト,キロバイト,キ,ト
ｋヘルツ,キロヘルツ,キ,ツ
ｋメートル,キロメートル,キ,ル
ｋリットル,キロリットル,キ,ル
ｋワット,キロワット,キ,ト
ｌ,リットル,リ,ル
ｍ,メートル,メ,ル
ｍＡ,ミリアンペア,ミ,ア
ｍＶ,ミリボルト,ミ,ト
ｍＷ,ミリワット,ミ,ト
ｍｇ,ミリグラム,ミ,ム
ｍｈｚ,メガヘルツ,メ,ツ
ｍｌ,ミリリットル,ミ,ル
ｍｍ,ミリメートル,ミ,ル
ｍｏｌ,モル,モ,ル
ｐＨ,ペーハー,ヘ,ハ
ｐａ,パスカル,ハ,ル
ｐｐｍ,ピーピーエム,ヒ,ム
ｐｐｍ,ピーピーエム,ヒ,ム
ｓｕｐｅｒ,スーパー,ス,ハ
ｔ,トン,ト,ン
ｔｈｅ,ザ,サ,サ
ｖ,ボルト,ホ,ト
ｗ,ワット,ワ,ト
あい,アイ,ア,イ
あいあい,アイアイ,ア,イ
あいさつ,アイサツ,ア,ツ
あいさつ回り,アイサツマワリ,ア,リ
あいぞめ,アイゾメ,ア,メ
あいだ,アイダ,ア,タ
あいつ,アイツ,ア,ツ
あいの子,アイノコ,ア,コ
あいの手,アイノテ,ア,テ
あいま,アイマ,ア,マ
あいまい,アイマイ,ア,イ
あいまい度,アイマイド,ア,ト
あい昧,アイマイ,ア,イ
あい路,アイロ,ア,ロ
あえ物,アエモノ,ア,ノ
あおか,アオカ,ア,カ
あおり,アオリ,ア,リ
あお向け,アオムケ,ア,ケ
あかし,アカシ,ア,シ
あかつき,アカツキ,ア,キ
あかまんま,アカマンマ,ア,マ
あからさま,アカラサマ,ア,マ
あかゲット,アカゲット,ア,ト
あかチン,アカチン,ア,ン
あがき,アガキ,ア,キ
あがり目,アガリメ,ア,メ
あきたこまち,アキタコマチ,ア,チ
あきらめ,アキラメ,ア,メ
あぎと,アギト,ア,ト
あくせく,アクセク,ア,ク
あくび,アクビ,ア,ヒ
あくま,アクマ,ア,マ
あくる日,アクルヒ,ア,ヒ
あく促,アクセク,ア,ク
あぐら,アグラ,ア,ラ
あけすけ,アケスケ,ア,ケ
あけっぴろげ,アケッピロゲ,ア,ケ
あげく,アゲク,ア,ク
あこう鯛,アコウダイ,ア,イ
あこがれ,アコガレ,ア,レ
あご,アゴ,ア,コ
あごひげ,アゴヒゲ,ア,ケ
あさって,アサッテ,ア,テ
あざやか,アザヤカ,ア,カ
あざやか,アザヤカ,ア,カ
あし,アシ,ア,シ
あした,アシタ,ア,タ
あしなが,アシナガ,ア,カ
あしゅら,アシュラ,ア,ラ
あしらい,アシライ,ア,イ
あじけ,アジケ,ア,ケ
あす,アス,ア,ス
あすこ,アスコ,ア,コ
あずま屋,アズマヤ,ア,ヤ
あぜ,アゼ,ア,セ
あぜん,アゼン,ア,ン
あぜ道,アゼミチ,ア,チ
あそこ,アソコ,ア,コ
あそばせ言葉,アソバセコトバ,ア,ハ
あたい,アタイ,ア,イ
あたし,アタシ,ア,シ
あたしゃ,アタシャ,ア,ヤ
あたふた,アタフタ,ア,タ
あたり,アタリ,ア,リ
あたり,アタリ,ア,リ
あたり,アタリ,ア,リ
あたり,アタリ,ア,リ
あたりまえ,アタリマエ,ア,エ
あたり前,アタリマエ,ア,エ
あだ花,アダバナ,ア,ナ
あだ討ち,アダウチ,ア,チ
あだ名,アダナ,ア,ナ
あちこち,アチコチ,ア,チ
あちゃらか,アチャラカ,ア,カ
あちら,アチラ,ア,ラ
あちら帰り,アチラガエリ,ア,リ
あっけ,アッケ,ア,ケ
あっせん,アッセン,ア,ン
あったりまえ,アッタリマエ,ア,エ
あっち,アッチ,ア,チ
あっという間,アットイウマ,ア,マ
あっぱっぱ,アッパッパ,ア,ハ
あっぱれ,アッパレ,ア,レ
あっ気,アッケ,ア,ケ
あっ旋,アッセン,ア,ン
あつあつ,アツアツ,ア,ツ
あづま,アヅマ,ア,マ
あて,アテ,ア,テ
あて,アテ,ア,テ
あてがいぶち,アテガイブチ,ア,チ
あてずっぽう,アテズッポウ,ア,ウ
あてずっぽう,アテズッポウ,ア,ウ
あてレコ,アテレコ,ア,コ
あて外れ,アテハズレ,ア,レ
あて外れ,アテハズレ,ア,レ
あて字,アテジ,ア,シ
あて先,アテサキ,ア,キ
あて馬,アテウマ,ア,マ
あて無し,アテナシ,ア,シ
あて名,アテナ,ア,ナ
あでやか,アデヤカ,ア,カ
あで姿,アデスガタ,ア,タ
あと,アト,ア,ト
あと,アト,ア,ト
あと,アト,ア,ト
あとあと,アトアト,ア,ト
あとがき,アトガキ,ア,キ
あながち,アナガチ,ア,チ
あなた,アナタ,ア,タ
あなた任せ,アナタマカセ,ア,セ
あにい,アニイ,ア,イ
あねさん被り,アネサンカブリ,ア,リ
あのまま,アノママ,ア,マ
あの手この手,アノテコノテ,ア,テ
あの世,アノヨ,ア,ヨ
あはれ,アハレ,ア,レ
あばら屋,アバラヤ,ア,ヤ
あばら家,アバラヤ,ア,ヤ
あばら骨,アバラボネ,ア,ネ
あふれ,アフレ,ア,レ
あぶら身,アブラミ,ア,ミ
あぶら虫,アブラムシ,ア,シ
あぶり出し,アブリダシ,ア,シ
あぶり物,アブリモノ,ア,ノ
あぶれ者,アブレモノ,ア,ノ
あべこべ,アベコベ,ア,ヘ
あべこべ,アベコベ,ア,ヘ
あまえん坊,アマエンボウ,ア,ウ
あまた,アマタ,ア,タ
あまり,アマリ,ア,リ
あまり,アマリ,ア,リ
あまり,アマリ,ア,リ
あまり,アマリ,ア,リ
あまり,アマリ,ア,リ
あま味,アマミ,ア,ミ
あめ,アメ,ア,メ
あめ色,アメイロ,ア,ロ
あやかし,アヤカシ,ア,シ
あやかり者,アヤカリモノ,ア,ノ
あやとり,アヤトリ,ア,リ
あやふや,アヤフヤ,ア,ヤ
あや織り,アヤオリ,ア,リ
あらあら,アラアラ,ア,ラ
あらごなし,アラゴナシ,ア,シ
あらし,アラシ,ア,シ
あらた,アラタ,ア,タ
あらたか,アラタカ,ア,カ
あらまし,アラマシ,ア,シ
あらわ,アラワ,ア,ワ
あらわれ,アラワレ,ア,レ
あら塩,アラシオ,ア,オ
あら捜し,アラサガシ,ア,シ
ありうち,アリウチ,ア,チ
ありうち,アリウチ,ア,チ
ありがたさ,アリガタサ,ア,サ
ありがたみ,アリガタミ,ア,ミ
ありがた味,アリガタミ,ア,ミ
ありがた迷惑,アリガタメイワク,ア,ク
ありっきり,アリッキリ,ア,リ
ありったけ,アリッタケ,ア,ケ
ありてい,アリテイ,ア,イ
ありのまま,アリノママ,ア,マ
ありのみ,アリノミ,ア,ミ
あり方,アリカタ,ア,タ
あるじ,アルジ,ア,シ
ある時,アルトキ,ア,キ
ある日,アルヒ,ア,ヒ
あれ,アレ,ア,レ
あれこれ,アレコレ,ア,レ
あれこれ,アレコレ,ア,レ
あれしき,アレシキ,ア,キ
あれだけ,アレダケ,ア,ケ
あれ性,アレショウ,ア,ウ
あれ肌,アレハダ,ア,タ
あわ,アワ,ア,ワ
あわせ鏡,アワセカガミ,ア,ミ
あわせ糸,アワセイト,ア,ト
あわせ酢,アワセズ,ア,ス
あん,アン,ア,ン
あんこ,アンコ,ア,コ
あんころ餅,アンコロモチ,ア,チ
あんさん,アンサン,ア,ン
あんしん,アンシン,ア,ン
あんた,アンタ,ア,タ
あんちょこ,アンチョコ,ア,コ
あんど,アンド,ア,ト
あんなに,アンナニ,ア,ニ
あんぱん,アンパン,ア,ン
あんぽんたん,アンポンタン,ア,ン
あんぽんたん,アンポンタン,ア,ン
あんまり,アンマリ,ア,リ
あんゆ,アンユ,ア,ユ
あん馬,アンバ,ア,ハ
あん分,アンブン,ア,ン
あん摩,アンマ,ア,マ
あ式蹴球,アシキシュウキュウ,ア,ウ
あ然,アゼン,ア,ン
いーかげん,イーカゲン,イ,ン
いいかげん,イイカゲン,イ,ン
いいわけ,イイワケ,イ,ケ
いい加減,イイカゲン,イ,ン
いい気,イイキ,イ,キ
いかが,イカガ,イ,カ
いかが,イカガ,イ,カ
いかさま,イカサマ,イ,マ
いかり肩,イカリガタ,イ,タ
いかん,イカン,イ,ン
いかん,イカン,イ,ン
いがぐり,イガグリ,イ,リ
いき,イキ,イ,キ
いき,イキ,イ,キ
いきか,イキカ,イ,カ
いきさつ,イキサツ,イ,ツ
いき方,イキカタ,イ,タ
いく,イク,イ,ク
いくさ,イクサ,イ,サ
いくそばく,イクソバク,イ,ク
いくつ,イクツ,イ,ツ
いくつ,イクツ,イ,ツ
いくつか,イクツカ,イ,カ
いくら,イクラ,イ,ラ
いく重,イクエ,イ,エ
いけい,イケイ,イ,イ
いけぞんざい,イケゾンザイ,イ,イ
いごこち,イゴコチ,イ,チ
いさかい,イサカイ,イ,イ
いさみ足,イサミアシ,イ,シ
いざこざ,イザコザ,イ,サ
いざなぎ景気,イザナギケイキ,イ,キ
いじいじ,イジイジ,イ,シ
いじめ,イジメ,イ,メ
いじり,イジリ,イ,リ
いじわる,イジワル,イ,ル
いす,イス,イ,ス
いずれ,イズレ,イ,レ
いせえび,イセエビ,イ,ヒ
いそ,イソ,イ,ソ
いそぎ足,イソギアシ,イ,シ
いたいけ,イタイケ,イ,ケ
いたし方,イタシカタ,イ,タ
いたずら,イタズラ,イ,ラ
いたずら,イタズラ,イ,ラ
いたずら書き,イタズラガキ,イ,キ
いたちごっこ,イタチゴッコ,イ,コ
いたつき,イタツキ,イ,キ
いため,イタメ,イ,メ
いた事,イタコト,イ,ト
いだてん走り,イダテンバシリ,イ,リ
いちいち,イチイチ,イ,チ
いちげん,イチゲン,イ,ン
いちど,イチド,イ,ト
いちばん,イチバン,イ,ン
いちゃもん,イチャモン,イ,ン
いちょう鍋,イチョウナベ,イ,ヘ
いちょう弁当,イチョウベントウ,イ,ウ
いち押し,イチオシ,イ,シ
いっきょ,イッキョ,イ,ヨ
いっさい,イッサイ,イ,イ
いっしょ,イッショ,イ,ヨ
いっせん,イッセン,イ,ン
いっせん,イッセン,イ,ン
いったん,イッタン,イ,ン
いっとき,イットキ,イ,キ
いっぱい,イッパイ,イ,イ
いっぺん,イッペン,イ,ン
いっぽう,イッポウ,イ,ウ
いっ血,イッケツ,イ,ツ
いつ,イツ,イ,ツ
いつか,イツカ,イ,カ
いで湯,イデユ,イ,ユ
いとこ,イトコ,イ,コ
いなか,イナカ,イ,カ
いなかっぺ,イナカッペ,イ,ヘ
いなか者,イナカモノ,イ,ノ
いなせ,イナセ,イ,セ
いなせ,イナセ,イ,セ
いなりずし,イナリズシ,イ,シ
いにしえ,イニシエ,イ,エ
いにしへ,イニシヘ,イ,ヘ
いぬ,イヌ,イ,ヌ
いね,イネ,イ,ネ
いのち,イノチ,イ,チ
いの一番,イノイチバン,イ,ン
いばら,イバラ,イ,ラ
いばらき,イバラキ,イ,キ
いびき,イビキ,イ,キ
いびつ,イビツ,イ,ツ
いぶし銀,イブシギン,イ,ン
いぼ,イボ,イ,ホ
いま,イマ,イ,マ
いま,イマ,イ,マ
いまどき,イマドキ,イ,キ
いまわ,イマワ,イ,ワ
いも,イモ,イ,モ
いもち,イモチ,イ,チ
いもづる式,イモヅルシキ,イ,キ
いや,イヤ,イ,ヤ
いやがらせ,イヤガラセ,イ,セ
いやちこ,イヤチコ,イ,コ
いや応なし,イヤオウナシ,イ,シ
いらいら,イライラ,イ,ラ
いらだち,イラダチ,イ,チ
いらち,イラチ,イ,チ
いらっしゃい,イラッシャイ,イ,イ
いら立ち,イラダチ,イ,チ
いりこ,イリコ,イ,コ
いり干し,イリボシ,イ,シ
いり子,イリコ,イ,コ
いろいろ,イロイロ,イ,ロ
いろは,イロハ,イ,ハ
いろは歌,イロハウタ,イ,タ
いわき,イワキ,イ,キ
いわく,イワク,イ,ク
いわく,イワク,イ,ク
いわく付き,イワクツキ,イ,キ
いわし雲,イワシグモ,イ,モ
いわれ,イワレ,イ,レ
いんぎん無礼,インギンブレイ,イ,イ
いんげん豆,インゲンマメ,イ,メ
いんちき,インチキ,イ,キ
いんにょう,インニョウ,イ,ウ
いん石,インセキ,イ,キ
い音便,イオンビン,イ,ン
い草,イグサ,イ,サ
うえ,ウエ,ウ,エ
うえ,ウエ,ウ,エ
うえ,ウエ,ウ,エ
うおの目,ウオノメ,ウ,メ
うかうか,ウカウカ,ウ,カ
うかつ,ウカツ,ウ,ツ
うかんむり,ウカンムリ,ウ,リ
うきドック,ウキドック,ウ,ク
うぐいす色,ウグイスイロ,ウ,ロ
うさ,ウサ,ウ,サ
うさぎ,ウサギ,ウ,キ
うし,ウシ,ウ,シ
うしろ姿,ウシロスガタ,ウ,タ
うしろ足,ウシロアシ,ウ,シ
うじ虫,ウジムシ,ウ,シ
うすあげ,ウスアゲ,ウ,ケ
うすっぺら,ウスッペラ,ウ,ラ
うす口,ウスクチ,ウ,チ
うす焼き,ウスヤキ,ウ,キ
うす切り,ウスギリ,ウ,リ
うす茶,ウスチャ,ウ,ヤ
うす皮,ウスカワ,ウ,ワ
うす緑,ウスミドリ,ウ,リ
うず,ウズ,ウ,ス
うずうず,ウズウズ,ウ,ス
うそ,ウソ,ウ,ソ
うそ八百,ウソハッピャク,ウ,ク
うた,ウタ,ウ,タ
うたい文句,ウタイモンク,ウ,ク
うたた寝,ウタタネ,ウ,ネ
うたびと,ウタビト,ウ,ト
うたガルタ,ウタガルタ,ウ,タ
うだつ,ウダツ,ウ,ツ
うち,ウチ,ウ,チ
うち,ウチ,ウ,チ
うち,ウチ,ウ,チ
うち,ウチ,ウ,チ
うちつけ,ウチツケ,ウ,ケ
うちの人,ウチノヒト,ウ,ト
うちわ,ウチワ,ウ,ワ
うちわ太鼓,ウチワダイコ,ウ,コ
うっかり,ウッカリ,ウ,リ
うってつけ,ウッテツケ,ウ,ケ
うってつけ,ウッテツケ,ウ,ケ
うっぷん,ウップン,ウ,ン
うっ屈,ウックツ,ウ,ツ
うっ血,ウッケツ,ウ,ツ
うっ積,ウッセキ,ウ,キ
うっ憤,ウップン,ウ,ン
うつ,ウツ,ウ,ツ
うつけ,ウツケ,ウ,ケ
うつけ,ウツケ,ウ,ケ
うつし絵,ウツシエ,ウ,エ
うつせみ,ウツセミ,ウ,ミ
うつつ,ウツツ,ウ,ツ
うつぶせ寝,ウツブセネ,ウ,ネ
うつほ,ウツホ,ウ,ホ
うつり気,ウツリギ,ウ,キ
うつり気,ウツリギ,ウ,キ
うつり香,ウツリガ,ウ,カ
うつろ,ウツロ,ウ,ロ
うつわ,ウツワ,ウ,ワ
うつ病,ウツビョウ,ウ,ウ
うどん,ウドン,ウ,ン
うどん粉,ウドンコ,ウ,コ
うなぎ,ウナギ,ウ,キ
うなじ,ウナジ,ウ,シ
うな重,ウナジュウ,ウ,ウ
うな丼,ウナドン,ウ,ン
うねり,ウネリ,ウ,リ
うのみ,ウノミ,ウ,ミ
うの花,ウノハナ,ウ,ナ
うば桜,ウバザクラ,ウ,ラ
うぶ,ウブ,ウ,フ
うぶ声,ウブゴエ,ウ,エ
うま,ウマ,ウ,マ
うまさ,ウマサ,ウ,サ
うまみ,ウマミ,ウ,ミ
うま煮,ウマニ,ウ,ニ
うま味,ウマミ,ウ,ミ
うめき声,ウメキゴエ,ウ,エ
うらはら,ウラハラ,ウ,ラ
うらみ,ウラミ,ウ,ミ
うら口,ウラグチ,ウ,チ
うら盆,ウラボン,ウ,ン
うりざね顔,ウリザネガオ,ウ,オ
うり二つ,ウリフタツ,ウ,ツ
うるう,ウルウ,ウ,ウ
うるうる,ウルウル,ウ,ル
うるう年,ウルウドシ,ウ,シ
うるか,ウルカ,ウ,カ
うるささ,ウルササ,ウ,サ
うるさ型,ウルサガタ,ウ,タ
うるち米,ウルチマイ,ウ,イ
うれし泣き,ウレシナキ,ウ,キ
うろうろ,ウロウロ,ウ,ロ
うろこ,ウロコ,ウ,コ
うろ覚え,ウロオボエ,ウ,エ
うわさ,ウワサ,ウ,サ
うわっ張り,ウワッパリ,ウ,リ
うわなり,ウワナリ,ウ,リ
うわなり打ち,ウワナリウチ,ウ,チ
うわの空,ウワノソラ,ウ,ラ
うわの空,ウワノソラ,ウ,ラ
うわべ,ウワベ,ウ,ヘ
うわ言,ウワゴト,ウ,ト
うわ薬,ウワグスリ,ウ,リ
うんこ,ウンコ,ウ,コ
うんざり,ウンザリ,ウ,リ
うんちく,ウンチク,ウ,ク
うんぬん,ウンヌン,ウ,ン
うん気,ウンキ,ウ,キ
うん醸,ウンジョウ,ウ,ウ
う音便,ウオンビン,ウ,ン
う化,ウカ,ウ,カ
う回,ウカイ,ウ,イ
う余曲折,ウヨキョクセツ,ウ,ツ
えい光弾,エイコウダン,エ,ン
えい航,エイコウ,エ,ウ
えい児,エイジ,エ,シ
えがお,エガオ,エ,オ
えさ,エサ,エ,サ
えさやり,エサヤリ,エ,リ
えじき,エジキ,エ,キ
えたい,エタイ,エ,イ
えのこ,エノコ,エ,コ
えびす顔,エビスガオ,エ,オ
えびす講,エビスコウ,エ,ウ
えび茶,エビチャ,エ,ヤ
えみし,エミシ,エ,シ
えらいさん,エライサン,エ,ン
